,logFC,AveExpr,t,P.Value,adj.P.Val,B
LOC108179660,-0.136719324,2.644047471,-0.83612329,0.426897648,0.619817922,-6.160554048
nol12,0.086576941,3.878728731,0.83611496,0.426902071,0.619817922,-6.538579456
trim35-40,0.139901835,2.625738203,0.83595228,0.426988473,0.619901664,-6.160712914
LOC137489832,0.108973437,2.270924528,0.835841831,0.427047141,0.619945134,-6.053658072
nap1l4b,-0.082516498,5.881589564,-0.835630792,0.427159256,0.620066181,-7.004578237
ift172,0.058207072,4.817321883,0.835388362,0.427288072,0.620211454,-6.785803236
LOC101884644,-0.279366659,0.139671861,-0.835223973,0.427375437,0.620268736,-5.491181009
mdm2,-0.076180315,4.599982653,-0.835189816,0.427393591,0.620268736,-6.72982098
pou6f2,0.08162434,3.099705866,0.835151868,0.427413761,0.620268736,-6.306684963
nsd1b,-0.115122486,3.154834028,-0.834982803,0.427503629,0.620333189,-6.319045011
gnb4b,-0.031377546,7.774640018,-0.834960166,0.427515663,0.620333189,-7.24156602
ugt2a4,0.068269235,5.142817611,0.83483141,0.427584115,0.620390801,-6.860996756
zgc:86811,0.114878861,3.347217011,0.834752918,0.427625848,0.620409641,-6.383685762
cbln20,0.089891048,3.169740481,0.834609294,0.427702217,0.620448963,-6.328771364
LOC103909987,-0.27795302,0.574359875,-0.834593813,0.42771045,0.620448963,-5.58698394
gpat3,-0.491183545,3.472008965,-0.834445467,0.427789342,0.620521695,-6.400414042
dhdds,-0.063816198,3.964952498,-0.834385448,0.427821263,0.620526291,-6.561033213
piwil2,0.184197872,0.721746102,0.83417997,0.427930561,0.620610333,-5.62719092
LOC137487709,0.123204245,2.467910359,0.834168391,0.427936721,0.620610333,-6.114150278
ddrgk1,-0.088000612,3.360133731,-0.834016814,0.42801736,0.62068557,-6.382972051
dse,0.054704656,4.58376075,0.833955346,0.428050065,0.620691289,-6.729680661
tox3,0.084590631,4.997597825,0.833826971,0.428118373,0.62074863,-6.829689866
viml,0.165281855,1.42535248,0.833767558,0.428149989,0.620752766,-5.809917385
LOC100329344,0.083109212,4.222964965,0.833185863,0.428459619,0.621105755,-6.63675408
trhde.1,0.060777505,4.344865985,0.833179837,0.428462827,0.621105755,-6.668940568
fgd5a,0.168830648,2.690872527,0.833147966,0.428479796,0.621105755,-6.183356072
saysd1,0.231946166,1.05657464,0.833058572,0.428527395,0.621133033,-5.711152668
pcdh10b,0.052040285,6.803578093,0.832796193,0.428667123,0.621293834,-7.146130424
pla1a,0.082066337,2.915705446,0.83253106,0.428808349,0.621437272,-6.251824946
dnlz,-0.10927464,2.059987884,-0.832502281,0.428823681,0.621437272,-5.989463519
LOC110438587,-0.330889643,0.033686827,-0.832041159,0.429069386,0.621751589,-5.471034773
creb3l3l,0.137882853,4.836171567,0.831846967,0.429172888,0.621825834,-6.794660551
cep97,0.098870952,4.590684686,0.83183691,0.429178249,0.621825834,-6.733960346
pnpla6,-0.065434848,5.390608652,-0.83176763,0.429215179,0.621837593,-6.914163812
rps6ka3a,-0.405315346,3.724532203,-0.831367765,0.429428374,0.622104701,-6.483778423
LOC101882074,0.324130262,-1.207314158,0.830535137,0.429872537,0.622706351,-5.247760538
dao.2,-0.14757167,3.175234522,-0.830244692,0.430027549,0.622883425,-6.328214398
ece1,-0.088326632,4.701450025,-0.830197946,0.430052501,0.622883425,-6.759083215
wdr20a,-0.061632753,5.393788264,-0.830108049,0.430100489,0.622905996,-6.916251797
mrps16,-0.476207128,1.190418454,-0.830024741,0.430144963,0.622905996,-5.738144907
cyp2ad2,0.086712946,4.053539939,0.830006549,0.430154676,0.622905996,-6.593173612
gabrb1,0.249674388,1.556705469,0.829785721,0.430272583,0.623011725,-5.851743047
btr24,-0.258619618,-0.745350953,-0.829761672,0.430285425,0.623011725,-5.323468451
si:dkey-10f21.4,0.100444932,2.766296705,0.829498853,0.430425784,0.623131341,-6.208617849
ldah,-0.094338357,3.423696305,-0.829498849,0.430425786,0.623131341,-6.405590714
fam204a,0.569188657,1.183316833,0.829344628,0.430508164,0.623179861,-5.748158543
insyn2a,0.091512639,3.273329662,0.829287875,0.430538481,0.623179861,-6.365185104
naxd,-0.039953917,5.656094406,-0.82927393,0.43054593,0.623179861,-6.969311173
LOC137487223,-0.098062314,3.258689558,-0.829086406,0.430646117,0.623275314,-6.355525444
si:ch73-144d13.5,0.145119563,1.743195531,0.829042383,0.430669639,0.623275314,-5.904704254
cytip,0.343043577,-0.882948417,0.828877498,0.430757747,0.623361024,-5.303610527
mcrip1,0.076113113,3.913332074,0.828797369,0.43080057,0.623381192,-6.554520879
kcnn2,-0.09944638,3.327922202,-0.828663304,0.430872223,0.623443074,-6.377802579
map6d1,0.141271043,2.446813324,0.82860404,0.4309039,0.623447108,-6.112695137
rpusd4,0.101770413,2.374912959,0.828510192,0.430954066,0.623477891,-6.090580626
ptger3,-0.146098932,1.54336945,-0.828388872,0.431018923,0.623529923,-5.842145918
LOC566011,-0.108614252,3.678069972,-0.828301783,0.431065485,0.623555481,-6.482400893
ascl1a,0.066857664,4.14986667,0.828095143,0.431175977,0.62361476,-6.620873577
osbpl7,0.09401317,4.396397452,0.82803139,0.431210071,0.62361476,-6.68741599
scrt2,-0.059422019,4.916471403,-0.828030116,0.431210752,0.62361476,-6.813165705
tmem256,0.090781325,3.577713115,0.82800899,0.43122205,0.62361476,-6.458364271
zgc:162952,0.130647801,2.195375917,0.827907876,0.431276128,0.623651174,-6.038339982
nop2,0.082106983,4.875489167,0.827847089,0.43130864,0.6236564,-6.806311505
gabpb2a,0.067170941,4.120358445,0.827747243,0.431362047,0.623691836,-6.613001327
usp37,0.086271603,5.029158651,0.827624065,0.431427941,0.62374532,-6.842171033
tagapb,0.118386513,2.292965853,0.827210074,0.431649455,0.624023773,-6.067552944
abcg2d,0.266193851,1.152956125,0.826997615,0.431763165,0.624098288,-5.741758238
slc25a23a,0.083842655,4.913978096,0.826974693,0.431775435,0.624098288,-6.816034998
add3a,-0.036079723,7.014791349,-0.826922637,0.431803299,0.624098288,-7.174679178
prox2,-0.165872895,1.937189184,-0.826846517,0.431844047,0.624098288,-5.956610987
LOC100537502,0.178633489,0.967599739,0.826843012,0.431845924,0.624098288,-5.693216637
polr3d,-0.084544881,3.553816158,-0.82678961,0.431874512,0.624098288,-6.447742569
hdr,0.111597244,2.997873747,0.826523956,0.432016748,0.62425583,-6.28285542
rttn,0.105610984,3.041476442,0.826477951,0.432041383,0.62425583,-6.296393205
ccdc51,-0.100132288,3.693179233,-0.826309364,0.432131667,0.624344481,-6.488908184
LOC100150280,-0.146213979,2.15692429,-0.826157921,0.432212782,0.624419872,-6.022571535
ebag9,-0.053830626,4.709051376,-0.826062839,0.432263714,0.624451651,-6.765252407
ccl44,-0.126148443,2.738822935,-0.82585583,0.432374617,0.624570054,-6.198108857
LOC555645,0.218497781,1.531805464,0.825632435,0.43249432,0.624663851,-5.847313722
mtss1,-0.043775813,5.089973686,-0.825625352,0.432498115,0.624663851,-6.85512796
gabbr2,0.081008637,3.293874704,0.825524154,0.432552349,0.624663851,-6.374431967
itga3b,-0.046737387,5.668285157,-0.825518591,0.43255533,0.624663851,-6.974763806
igf1,0.193832158,1.275211797,0.825305632,0.432669474,0.624786879,-5.775543637
spop,0.044360684,5.454956728,0.825236799,0.432706372,0.624798355,-6.934616007
chrna8,-0.129994365,2.3599625,-0.825161723,0.432746619,0.624814664,-6.083874916
map1lc3c,0.240166028,-0.384363708,0.825067924,0.432796907,0.624833598,-5.397831395
rasef,0.094924088,2.692284095,0.825029257,0.432817638,0.624833598,-6.189306694
dnajb12a,-0.069409674,4.54831231,-0.824971907,0.432848388,0.624836192,-6.725489735
ccdc106a,0.058159013,4.787128035,0.824780225,0.432951175,0.624942766,-6.787511732
zgc:113452,-0.198895825,1.705527045,-0.824568233,0.433064871,0.625065074,-5.889905373
sufu,0.046510152,5.279530296,0.824425325,0.433141528,0.625133908,-6.89896989
si:dkey-169i5.4,-0.362991833,-0.864459741,-0.824188311,0.433268685,0.625275611,-5.305627246
tbp,-0.081110362,4.170027421,-0.824083835,0.433324744,0.625314697,-6.62631617
zgc:113135,-0.323550651,-0.831255445,-0.823759684,0.433498706,0.625523909,-5.311961968
zgc:163098,-0.072520726,4.594157236,-0.823647428,0.433558962,0.625553228,-6.738509341
akirin2,0.054233788,6.211525195,0.82361383,0.433576997,0.625553228,-7.071956353
LOC100007503,-0.196992068,0.95277371,-0.823517679,0.433628614,0.625585876,-5.687994502
b3gnt2a,-0.130102082,1.540487472,-0.823412794,0.433684925,0.625625292,-5.84611424
tmem184bb.1,0.12513647,2.68227634,0.823329982,0.433729389,0.625647613,-6.188104129
LOC557537,-0.160662735,1.119144705,-0.82315087,0.433825569,0.625744526,-5.731677757
asb14b,0.254695061,1.800782938,0.822893983,0.433963539,0.625901699,-5.928293671
mrrf,0.642361321,1.250492242,0.822754643,0.434038388,0.625967705,-5.771440877
si:cabz01054394.5,-0.258877497,0.606181573,-0.822700799,0.434067314,0.625967705,-5.604725993
LOC100000545,0.390054496,-1.096006507,0.822252258,0.43430833,0.626253521,-5.27222965
LOC137487706,0.139486662,2.182498774,0.822223946,0.434323546,0.626253521,-6.039331789
pag1,0.17138582,3.875624238,0.822168737,0.434353219,0.626254464,-6.551478061
styk1a,-0.149721253,1.287095591,-0.821850448,0.434524314,0.626459298,-5.777354067
LOC101885363,0.113984608,2.035672772,0.821743713,0.4345817,0.626478493,-5.995851767
taok2a,0.040586532,6.146753665,0.821717699,0.434595687,0.626478493,-7.063203279
LOC567909,0.280741027,0.203194939,0.821648418,0.434632939,0.626490345,-5.520577396
LOC137490894,-0.193308641,2.580411461,-0.821504894,0.434710118,0.626494938,-6.152220094
odad1,-0.205112404,1.15889707,-0.821471097,0.434728294,0.626494938,-5.742315337
LOC137491030,0.223387253,-0.359514735,0.821470967,0.434728364,0.626494938,-5.405263763
gpx2,0.209935651,-0.041808585,0.821426562,0.434752245,0.626494938,-5.468798955
ankrd39,0.108006645,1.935593789,0.821361252,0.434787371,0.626503722,-5.966836271
ndufa5,0.063959284,5.391346043,0.821100761,0.43492749,0.626663784,-6.925350512
cped1,0.055103264,4.617779274,0.820883164,0.43504456,0.626790616,-6.749304252
plekha2,-0.191019281,1.808678016,-0.820684641,0.435151387,0.626902675,-5.923356688
scdb,0.042810019,5.687509584,0.820581853,0.435206705,0.626930789,-6.983912809
LOC101886891,0.205693064,-0.105229485,0.820540426,0.435229001,0.626930789,-5.456442846
zgc:63587,0.040932396,5.915604396,0.820400954,0.435304072,0.626997075,-7.025463185
ribc1,0.162985318,0.777421292,0.820239901,0.43539077,0.627069127,-5.651535149
LOC100150651,-0.070146302,4.384665025,-0.820200081,0.435412208,0.627069127,-6.687445707
nt5c2a,0.044491048,5.837143454,0.820126108,0.435452034,0.627084636,-7.011851474
gja4,0.331875754,0.024352573,0.820019323,0.435509531,0.627099451,-5.484158342
ddx54,-0.048347577,5.680644314,-0.819999068,0.435520438,0.627099451,-6.981778835
myh6,0.074087063,3.265550535,0.819846581,0.435602552,0.627136808,-6.370497624
