,logFC,AveExpr,t,P.Value,adj.P.Val,B
fabp10b,0.60313894,1.023977036,1.834618822,0.103181795,0.254458498,-4.575099328
tbx6,-0.287168718,1.94425497,-1.83414348,0.103257463,0.254616008,-4.790544498
ndufb1,0.233974265,4.761543731,1.83389743,0.103296651,0.254683541,-5.579185242
rprm3,0.655376156,0.496103162,1.833666974,0.103333369,0.254744966,-4.473208733
tacr1b,0.351655844,1.742066447,1.833219691,0.103404668,0.25489162,-4.750263929
slc16a12a,0.347897954,2.901897315,1.832848008,0.103463951,0.255008625,-5.071306738
ddx39ab,0.124181218,7.664873378,1.832301017,0.103551254,0.255176723,-6.033271878
zgc:113184,-0.222217588,3.281069899,-1.832272542,0.103555801,0.255176723,-5.171654326
smim32,0.22598033,2.340580746,1.832037986,0.10359326,0.255239885,-4.910984691
dda1,-0.157940237,4.625707543,-1.831870627,0.103619996,0.255276614,-5.541869597
antxr1c,-0.158317514,4.016812172,-1.831729442,0.103642556,0.255286998,-5.384118445
dixdc1b,0.194834968,4.072157141,1.831638765,0.103657047,0.255286998,-5.40692437
svilb,0.097094313,6.789502955,1.831622173,0.103659699,0.255286998,-5.945476083
si:ch73-383l1.1,-0.244602672,2.629478202,-1.831163561,0.103733022,0.25541078,-4.984261797
dmac2l,-0.254196929,3.402711649,-1.831159756,0.103733631,0.25541078,-5.208317974
rbm25a,0.111807567,5.163605357,1.830841199,0.103784591,0.255507103,-5.672957431
opn4xa,0.672081437,-0.134465614,1.830193935,0.103888209,0.255733026,-4.376469809
ak4,-0.246742945,4.28543349,-1.829244758,0.104040335,0.256078293,-5.456251962
mapk7,-0.13909401,4.33908289,-1.829028395,0.104075041,0.256134504,-5.474144027
lins1,-0.388296858,1.587230795,-1.828718688,0.10412474,0.256200903,-4.704100395
wdr18,0.165451816,4.025108347,1.828712305,0.104125764,0.256200903,-5.398050006
anxa11b,-0.078017187,7.382479624,-1.828255155,0.104199164,0.256352276,-6.012215826
mri1,0.141711827,6.225402127,1.828156665,0.104214984,0.256361972,-5.87365327
kcp,0.13738064,5.118366722,1.82804867,0.104232334,0.256375426,-5.667525262
ncdn,-0.170555937,4.444207935,-1.827676344,0.104292169,0.256493366,-5.502234356
marchf6,-0.0974074,6.256129526,-1.827600972,0.104304285,0.256493935,-5.876261303
LOC101884790,0.083952363,7.613875451,1.826951572,0.104408736,0.256721538,-6.036318861
col5a3a,0.23382641,2.379443128,1.826835362,0.104427438,0.256735177,-4.9290728
tnksa,-0.176928748,4.938846136,-1.826769269,0.104438076,0.256735177,-5.623064104
ascc2,-0.18731052,4.18198368,-1.826614546,0.104462983,0.256767158,-5.435128282
wu:fc31d10,-0.392330806,1.064370325,-1.826429431,0.104492791,0.256783322,-4.587620923
pitpnc1b,-0.215693984,3.392923191,-1.826351101,0.104505406,0.256783322,-5.213526886
edil3a,0.136958386,4.929253798,1.826291109,0.104515068,0.256783322,-5.627952623
fgd6,0.22282292,3.037833428,1.826278161,0.104517154,0.256783322,-5.11978162
parga,-0.098358238,5.222194545,-1.825478587,0.104646021,0.257070665,-5.689569192
wdr33,-0.087605768,6.44863364,-1.825368405,0.104663791,0.257071498,-5.907988558
rapgef3,-0.301570857,2.887144943,-1.825328767,0.104670185,0.257071498,-5.064719204
phyhipla,0.493362663,1.041424265,1.824847473,0.104747844,0.257232957,-4.592220623
pcnx2,0.14568267,5.603157343,1.824535367,0.104798233,0.257327417,-5.771530048
thap12a,0.219246347,4.284180153,1.824420214,0.10481683,0.257343802,-5.473826704
wnt9b,-0.190336507,4.205089633,-1.824261059,0.104842539,0.25737764,-5.44416097
dnah1,-0.411311493,2.548912001,-1.823996206,0.104885334,0.257453412,-4.966030794
sertad3,0.379821576,1.093628209,1.823650709,0.104941185,0.257561208,-4.605175122
LOC110437787,-0.252097942,2.022172359,-1.823543148,0.104958578,0.257564172,-4.827084076
acp5b,-0.359993093,1.482169491,-1.823460781,0.104971899,0.257564172,-4.687101433
gprin3a,-0.422976653,1.573728308,-1.823421845,0.104978197,0.257564172,-4.707047524
eml5,0.130040859,5.384356152,1.823271918,0.105002449,0.257594391,-5.730131972
snapc2,-0.234636505,2.793962355,-1.823052073,0.105038022,0.257652371,-5.042810743
si:ch211-113e8.11,0.203617135,3.950455132,1.82294008,0.105056148,0.257667545,-5.386524895
ltb4r2b,-0.543049667,0.271990762,-1.822779075,0.105082211,0.257702182,-4.4409748
prlhr2b,0.545119473,-0.516441657,1.822287808,0.105161775,0.257868,-4.335263868
ftr38,-0.626488068,0.349286716,-1.822163531,0.105181912,0.257888075,-4.453588165
ndrg2,0.123420117,6.194689622,1.821965487,0.105214008,0.257937465,-5.877671308
atp6v0ca,0.08144122,8.519537477,1.82188814,0.105226546,0.257938901,-6.117890867
rps26,0.07876021,7.752399315,1.821779475,0.105244163,0.257952785,-6.056064002
vopp1a,-0.629128452,-0.330599835,-1.821705088,0.105256224,0.257953051,-4.352991943
ints12,-0.181193891,3.711674268,-1.821474841,0.105293565,0.258015264,-5.312920367
zgc:194627,0.327661996,1.377086282,1.821163549,0.10534407,0.258109716,-4.674284749
troap,0.170664092,3.700864051,1.8206921,0.105420602,0.25826791,-5.319817741
chsy3,0.404522026,2.036431906,1.820486732,0.105453957,0.258320301,-4.845940195
klhl11,0.136951013,4.42924014,1.820283063,0.105487046,0.258372028,-5.515866727
LOC137491575,0.457469452,-0.212598109,1.820086582,0.105518976,0.258420906,-4.378361205
slc43a3a,-0.189994623,3.111832816,-1.819970443,0.105537854,0.258433619,-5.140803231
ppp2r2ab,0.132230094,5.647658461,1.819907312,0.105548117,0.258433619,-5.786470089
dnaja1,0.109115104,5.055974405,1.819756941,0.105572567,0.258464159,-5.665437595
snx27a,0.10948595,4.689376637,1.819648117,0.105590264,0.258465389,-5.580886137
guca1g,0.355310894,1.136707882,1.819606564,0.105597022,0.258465389,-4.620150512
ghrhrb,0.466950423,1.101578857,1.819184834,0.105665636,0.258604003,-4.613016492
fcer1g,0.576975789,0.214425426,1.819074173,0.105683647,0.258618754,-4.444455723
col6a3,0.242325268,6.154060692,1.818673638,0.105748862,0.25867628,-5.877000894
oplah,0.117352818,5.358412237,1.818645219,0.105753491,0.25867628,-5.731387058
rictora,-0.127397001,4.807925116,-1.818644415,0.105753622,0.25867628,-5.605806293
fam78ab,0.215415703,2.53732467,1.818635338,0.1057551,0.25867628,-4.984692237
LOC101884742,0.560375894,-1.281686585,1.818479213,0.105780532,0.258709164,-4.259111291
LOC100333801,-0.314412848,3.094328273,-1.818404201,0.105792753,0.258709735,-5.134083674
sh2b3,-0.215566471,3.582180803,-1.818144378,0.105835095,0.258778735,-5.279564872
ablim1a,0.14635394,4.259435269,1.818083907,0.105844951,0.258778735,-5.47544738
LOC100004373,-0.69382341,-0.113133896,-1.817353521,0.105964072,0.259040626,-4.386629019
mpzl1l,-0.087921193,5.857494138,-1.817113618,0.106003227,0.259079536,-5.825704879
kitlga,-0.242061552,4.284828303,-1.817108886,0.106003999,0.259079536,-5.473782196
dynll2a,0.214461936,4.753640018,1.816952899,0.106029465,0.259112431,-5.601593165
ppm1aa,-0.095748459,6.558216992,-1.816583253,0.106089835,0.259220552,-5.93569074
LOC110439147,0.381626674,1.89823866,1.81651486,0.106101008,0.259220552,-4.814585618
bptf,0.097799293,7.081707786,1.816461401,0.106109743,0.259220552,-6.000228084
ttc7a,0.301367699,3.166053262,1.816256477,0.106143231,0.259258429,-5.172803806
LOC100536730,-0.545782401,-0.872215997,-1.816219503,0.106149274,0.259258429,-4.297407748
mrasa,0.632630013,-0.446253528,1.81573836,0.106227944,0.259421212,-4.352154601
LOC137491235,-0.410653183,0.504352248,-1.815470224,0.106271809,0.259498972,-4.492382834
ftr58,-0.510065177,0.27108841,-1.815284838,0.106302147,0.259540106,-4.451425535
LOC137489721,-0.365822482,1.402526344,-1.815220321,0.106312707,0.259540106,-4.678713529
acadvl,-0.070483212,7.909374399,-1.815017041,0.106345986,0.259585023,-6.07876406
nkx6.1,0.225633092,3.295016027,1.814960998,0.106355163,0.259585023,-5.211838302
tpd52l1,0.210835841,3.389531243,1.814830744,0.106376494,0.259607725,-5.239283396
slc8b1,-0.253069539,3.345696451,-1.814659185,0.106404595,0.259646943,-5.214981604
si:dkey-45k15.1,-0.424692087,0.052578881,-1.814523774,0.10642678,0.259671717,-4.418742158
serpinh2,0.218645909,3.342290624,1.814379876,0.10645036,0.25969989,-5.226379324
mrap2a,0.219666007,2.528734935,1.813937199,0.106522932,0.259847564,-4.988845723
si:ch73-236j9.2,0.451330885,0.057067788,1.813790793,0.106546944,0.259876763,-4.426296464
vwa8,0.318711219,3.827961012,1.813619957,0.106574969,0.259915743,-5.367283547
hypk,0.108330845,5.618525272,1.813270037,0.106632394,0.259998829,-5.790280499
cldn35,0.507631277,0.311197904,1.813265535,0.106633133,0.259998829,-4.468192281
LOC101884359,-0.510557337,0.0947257,-1.812969454,0.106681745,0.260087973,-4.426332464
xylb,0.194944024,2.896510747,1.812659365,0.10673268,0.260182759,-5.096996066
LOC100329789,0.187886837,3.087445625,1.812542103,0.106751947,0.260195747,-5.153363688
aipl1,-0.381787861,1.899721418,-1.812425984,0.10677103,0.260195747,-4.80569256
mdm1,-0.33841842,2.199271704,-1.812406829,0.106774178,0.260195747,-4.887719142
si:dkey-112m2.1,0.247985745,3.533613632,1.812180741,0.106811343,0.260256926,-5.285198025
kcnj1a.4,-0.466268896,0.991196871,-1.811806562,0.106872878,0.260377465,-4.590407833
terf2ip,-0.176516048,3.392677345,-1.811717584,0.106887516,0.260383732,-5.235400183
bccip,-0.086317228,6.21300115,-1.811630091,0.106901911,0.260384187,-5.892939724
acot14,-0.679080051,2.064240054,-1.811569791,0.106911833,0.260384187,-4.839194542
LOC110439459,-0.693659356,-0.555912222,-1.811328187,0.106951598,0.260451639,-4.336681943
si:dkey-261j15.2,-0.225143265,2.862557449,-1.810931659,0.10701689,0.260581201,-5.080365516
zgc:66448,0.112597945,5.197511547,1.810858442,0.10702895,0.260581201,-5.708952
bloc1s1,-0.208828325,3.111574607,-1.810607933,0.107070223,0.260652282,-5.153208245
cdc42se2,0.202702937,4.221300245,1.810500068,0.107087999,0.260666151,-5.476987024
fzd8a,0.100903354,5.876417111,1.810331167,0.107115839,0.260704513,-5.841559851
spen,-0.169219904,5.010576059,-1.809898987,0.107187106,0.26084855,-5.664001193
zgc:174315,0.403971287,0.823552521,1.80963404,0.107230819,0.260915156,-4.567236014
si:ch211-209f23.6,-0.449339317,0.799962755,-1.809586549,0.107238656,0.260915156,-4.555275245
si:ch211-197h24.6,0.122563024,4.846821238,1.809363158,0.107275528,0.260975445,-5.633132706
dyrk4,-0.132082912,4.975708761,-1.808987573,0.107337547,0.26109689,-5.658288013
mcmbp,0.134656127,4.66653159,1.808693655,0.107386105,0.261172833,-5.591520657
mfap5,0.427652852,1.287297713,1.8086521,0.107392972,0.261172833,-4.669957926
efnb2b,-0.312090592,2.710634244,-1.808424258,0.107430629,0.261225417,-5.037197607
rbpms2a,-0.107506352,5.380205731,-1.808350231,0.107442867,0.261225417,-5.747116417
cnot9,0.109287913,5.230337985,1.808301603,0.107450907,0.261225417,-5.719594663
LOC137490564,-0.492630041,0.695164454,-1.808012854,0.107498658,0.261312067,-4.536147982
trim35-1,-0.421591792,1.033720262,-1.807617069,0.107564142,0.2614418,-4.606052007
ints5,0.214546724,3.457039861,1.807487246,0.10758563,0.26145487,-5.269605106
ccdc66,-0.139546286,3.939203511,-1.807438197,0.107593749,0.26145487,-5.398053925
tmem115,-0.098641412,5.550665736,-1.807110027,0.107648088,0.261557464,-5.783101128
slc31a2,-0.275685621,2.238047227,-1.806475661,0.107753202,0.261725187,-4.908342169
pard6b,-0.188494652,3.338259219,-1.806470811,0.107754006,0.261725187,-5.226473304
arf2a,0.072675749,8.074932427,1.806417242,0.107762887,0.261725187,-6.105410669
ifi30a,0.367928531,3.93235192,1.806396946,0.107766252,0.261725187,-5.406826607
rassf10a,-0.193178366,3.441811795,-1.806274649,0.10778653,0.261725187,-5.2568908
jdp2b,-0.30043115,1.988810822,-1.806254426,0.107789883,0.261725187,-4.840872118
LOC100007492,-0.412286304,1.422174718,-1.806063882,0.107821485,0.261772468,-4.694895739
LOC568930,-0.793535763,0.994506027,-1.805786435,0.107867515,0.261834285,-4.592260541
ppt2a.3,-0.520003258,1.006902366,-1.805704035,0.10788119,0.261834285,-4.600850964
sorbs1,0.096211249,6.417355169,1.805691049,0.107883345,0.261834285,-5.934180579
fsd1,0.173144673,4.053970048,1.805538858,0.107908605,0.261866144,-5.439019029
cyp1a,-0.154944017,4.513645095,-1.805404288,0.107930946,0.261886805,-5.552102826
camkvb,0.225306605,2.913433507,1.805341391,0.10794139,0.261886805,-5.112703508
LOC100535316,-0.741597905,-0.55417043,-1.805033351,0.10799255,0.261981478,-4.343829415
dapk1,-0.136984411,5.129756514,-1.80495608,0.108005387,0.26198317,-5.698280854
otos2,0.122253883,4.585080267,1.804542283,0.108074156,0.262120518,-5.577251871
dnajc1,-0.113664729,5.433782696,-1.804239809,0.10812445,0.262213031,-5.763792835
atg101,-0.144748929,4.196993985,-1.803872649,0.10818553,0.262331676,-5.472668817
ncbp3,0.144214762,4.815253971,1.803770306,0.108202561,0.262343497,-5.634179029
zswim8,0.132866642,5.562387836,1.803644292,0.108223535,0.262349507,-5.79372977
rpl10a,-0.073658254,9.308874419,-1.80360934,0.108229353,0.262349507,-6.201170741
ndfip1,0.498788491,5.163277574,1.803102152,0.108313812,0.262524751,-5.715254165
rin3,-0.145131646,4.669669512,-1.802699602,0.108380891,0.262657835,-5.594981508
ntpcr,-0.23895846,2.850062282,-1.802290314,0.108449133,0.262793706,-5.088371314
ift57,-0.181744542,3.073456355,-1.802150903,0.108472387,0.262820543,-5.155258066
mrpl30,0.503936431,3.896400384,1.801828634,0.108526159,0.262901364,-5.40358935
setbp1,0.122725843,5.418979762,1.801804974,0.108530108,0.262901364,-5.767961093
rbfox3b,0.143994581,4.449210225,1.801180911,0.10863431,0.263124248,-5.548541241
LOC101884528,0.459883369,0.671104159,1.800946586,0.108673461,0.263189537,-4.549013454
sez6l,-0.139950635,4.382758165,-1.8003771,0.108768665,0.263390548,-5.526576074
egflam,0.213945706,4.04858977,1.800190464,0.108799883,0.263435387,-5.445900851
LOC100334962,0.421469572,1.448291149,1.800093768,0.108816061,0.263435387,-4.720866959
gars1,0.068927573,7.10891369,1.800047499,0.108823802,0.263435387,-6.026579594
pmt,0.147454526,3.918738692,1.799811587,0.108863283,0.263501403,-5.409942785
LOC110437872,0.654783354,0.292996563,1.799590472,0.108900299,0.263521315,-4.482640232
ifi44c1,-0.786945105,-0.641583123,-1.799563241,0.108904859,0.263521315,-4.339944655
rab18b,-0.139411609,5.448991148,-1.799543633,0.108908142,0.263521315,-5.77297125
alg14,-0.818538689,0.131710675,-1.799101849,0.108982141,0.263621741,-4.444886975
cryzl1,-0.176108759,3.593682456,-1.799079126,0.108985948,0.263621741,-5.311830778
nlgn3a,0.144777632,4.642552235,1.799077072,0.108986292,0.263621741,-5.599683912
htr2cl1,-0.296993473,2.105461277,-1.798830151,0.109027673,0.263665364,-4.882596633
cdc23,0.125490248,4.194673555,1.798823659,0.109028762,0.263665364,-5.485639832
LOC100007086,0.22624766,8.650895353,1.798613338,0.109064021,0.26372108,-6.161608779
abcb6a,-0.182980493,3.572055025,-1.798184488,0.109135949,0.263865441,-5.306226945
clint1a,-0.079687268,6.01102529,-1.797936954,0.109177487,0.263885071,-5.879996808
si:ch211-163c2.2,0.278459747,2.625423014,1.797929528,0.109178733,0.263885071,-5.039457122
lrp2b,-0.190557444,3.719764161,-1.797917503,0.109180751,0.263885071,-5.348572703
slc40a1,-0.083404668,6.221017538,-1.797753806,0.10920823,0.263921927,-5.914238935
atrip,-0.178147014,3.644018746,-1.797555704,0.109241492,0.263972751,-5.328243859
abhd4,-0.14537654,4.420745039,-1.797333505,0.109278811,0.264033366,-5.540515972
si:ch211-202f5.3,-0.188795561,3.298936752,-1.796922859,0.109347813,0.264170508,-5.228351873
fgf20b,-0.544350446,0.156641648,-1.796797304,0.109368918,0.264191922,-4.45603486
si:ch211-199m9.3,-0.406621802,1.177428538,-1.796681618,0.109388368,0.264209331,-4.652094848
gucy2cb,-0.185836661,3.191240839,-1.796504233,0.109418198,0.264249799,-5.197641511
cita,0.158148696,6.385049659,1.796436368,0.109429612,0.264249799,-5.943392596
kalrna,-0.099709437,5.736151809,-1.796299721,0.109452598,0.264275736,-5.833660361
rprml,0.364048672,1.491138976,1.795796276,0.109537325,0.264409767,-4.737357567
LOC100329477,0.408559992,1.833914235,1.79577469,0.109540959,0.264409767,-4.826412638
dusp7,-0.098743511,6.107876534,-1.795751494,0.109544865,0.264409767,-5.898773333
LOC137490880,0.61556282,0.272086074,1.795467751,0.109592647,0.264479442,-4.484510141
pheta2,-0.621833606,-0.240517624,-1.79543454,0.109598241,0.264479442,-4.397841434
cacng3a,0.305393971,1.434960224,1.79480769,0.109703878,0.264704762,-4.72440414
trmt10b,0.291688463,1.458182751,1.793980424,0.109843435,0.26501187,-4.731167961
slc18b1,-0.25409239,2.697099635,-1.79360276,0.109907202,0.265105617,-5.055962269
cdc42ep4a,0.22585686,3.269267579,1.793601484,0.109907417,0.265105617,-5.234720752
cyldl,-0.43816722,1.995017361,-1.79353205,0.109919144,0.265105617,-4.855298811
hyi,0.160972498,4.142087072,1.793407919,0.109940113,0.265126559,-5.480093831
si:zfos-464b6.2,-0.329436503,2.217250145,-1.793103069,0.109991625,0.265200104,-4.919404497
uqcc3,-0.360986362,1.679713841,-1.793081993,0.109995187,0.265200104,-4.776525608
LOC101882596,-0.495376217,1.583555819,-1.792612522,0.110074562,0.265361833,-4.750492256
prdm5,-0.243277227,2.353781231,-1.792538003,0.110087167,0.265362576,-4.960851825
fuca2,0.711048512,4.456329146,1.792145814,0.110153524,0.265492875,-5.564706957
arhgap32b,0.120467139,6.129149055,1.791995023,0.110179048,0.265524738,-5.91050823
fev,-0.244306576,3.088670427,-1.791761913,0.110218516,0.265590195,-5.171762144
slc4a8,0.120815459,5.06333353,1.791080617,0.110333942,0.265838653,-5.70837909
fam167b,-0.656640499,1.426910804,-1.790943289,0.110357223,0.26584772,-4.710074889
polr2a,0.07521125,7.727060185,1.79091309,0.110362343,0.26584772,-6.09840552
si:dkey-102c8.2,-0.453663729,0.309452392,-1.790500557,0.110432307,0.265986068,-4.490327829
LOC101884025,-0.281569432,1.842696679,-1.790429127,0.110444426,0.265986068,-4.82439345
paox1,-0.211546664,2.4997641,-1.79026844,0.110471692,0.266022047,-5.006048827
sart3,0.092536627,6.166888146,1.789843165,0.110543885,0.266121178,-5.919264926
slc17a5,0.131578697,5.565813109,1.789815462,0.110548589,0.266121178,-5.814174403
gas2l3,-0.154261939,4.155986736,-1.789808025,0.110549852,0.266121178,-5.481842036
LOC100151353,-0.331766193,1.227556257,-1.789621593,0.110581516,0.266157805,-4.674442005
slc25a23b,0.192472786,3.420875647,1.789573219,0.110589733,0.266157805,-5.284126238
wdr55,-0.235047358,2.640695311,-1.789066722,0.110675806,0.266335255,-5.047139321
ilk,-0.089437633,6.360139418,-1.788870013,0.110709251,0.266386035,-5.947970541
kat7b,0.105320928,5.051707574,1.788507352,0.110770937,0.266504748,-5.709322605
zgc:194839,-0.35152854,1.953939321,-1.788376349,0.110793227,0.266528663,-4.854014325
gdap1,-0.181540819,4.223412703,-1.788165977,0.110829031,0.266585079,-5.500969401
txnl4b,-0.304929591,2.04768376,-1.788001711,0.110856996,0.266622627,-4.881994519
sgms2b,0.228057925,5.421187168,1.787789055,0.110893208,0.266680001,-5.789608627
dnajc18,0.154253137,5.196665166,1.78763159,0.11092003,0.266714781,-5.742688636
fgfr4,-0.090546598,6.444718711,-1.787189834,0.110995307,0.266846327,-5.962466388
hspbap1,-0.400072876,1.422833935,-1.787165437,0.110999466,0.266846327,-4.721239471
smg9,-0.135597357,4.124840975,-1.786563298,0.111102155,0.267063444,-5.478744476
dync1li1,0.100073194,6.251023943,1.786317369,0.111144121,0.267134568,-5.937518612
nansb,0.220954922,3.053679245,1.786104809,0.111180405,0.267192019,-5.181289452
hexb,-0.086018261,6.388037839,-1.785817677,0.111229437,0.267280088,-5.956423835
apba1b,0.120793452,5.692297354,1.785397387,0.111301243,0.267422859,-5.844379821
sema4ba,-0.203084075,4.069789425,-1.785037916,0.111362693,0.267505372,-5.463892613
klhl35,-0.447653601,1.542357516,-1.785014299,0.111366731,0.267505372,-4.751706313
plekhs1.3,-0.315224841,2.268277548,-1.784978977,0.111372771,0.267505372,-4.946054571
fhl1a,0.218662785,4.320121721,1.784594753,0.111438493,0.26761331,-5.540179281
LOC137490887,-0.503092831,0.376476754,-1.784539271,0.111447986,0.26761331,-4.508706995
dync1i1b,0.117763603,4.924812298,1.784498804,0.111454911,0.26761331,-5.686697116
neto2,0.148026112,4.124264324,1.784077265,0.111527068,0.267739474,-5.488387878
nrbp1,0.246894429,3.867902039,1.784046894,0.111532268,0.267739474,-5.419722371
trh,0.216462031,3.283472845,1.783865067,0.111563407,0.267748382,-5.252400122
tdrd6,0.402290335,0.666666978,1.783775289,0.111578785,0.267748382,-4.570748127
csmd1a,-0.674089579,0.091953514,-1.783755121,0.11158224,0.267748382,-4.460390984
copg2,-0.094410895,7.143569561,-1.783735474,0.111585605,0.267748382,-6.052540116
limd2,0.088126387,5.709500068,1.783618076,0.111605719,0.267766872,-5.849706662
dync1i2b,0.151283517,4.73401101,1.783440532,0.111636143,0.267810093,-5.644163431
LOC137490860,0.591587304,-1.167021708,1.783181559,0.111680535,0.267886809,-4.310843364
gjc1,0.260229838,2.296946999,1.78304936,0.111703202,0.267911403,-4.967812491
dnah5,-0.224886875,2.991192396,-1.78281318,0.111743709,0.267956704,-5.156841641
slc35c2,-0.207510824,3.344001765,-1.782794447,0.111746923,0.267956704,-5.261422517
mfap4.4,-0.692450335,-0.733269211,-1.782568576,0.111785676,0.268015519,-4.351267242
aanat1,-0.512630908,1.556524473,-1.782506732,0.111796288,0.268015519,-4.756044118
LOC794598,-0.155672199,3.686424093,-1.78230081,0.111831633,0.268070473,-5.362782194
lrrn3a,0.248113938,2.457299358,1.78203668,0.111876983,0.268139077,-5.013612394
mybl1,0.186555461,3.175077645,1.781989404,0.111885102,0.268139077,-5.222674195
ano2a,-0.090607847,5.744856943,-1.781761816,0.111924195,0.268174187,-5.85624675
hddc3,0.226164803,3.275825688,1.781717531,0.111931803,0.268174187,-5.253255175
hax1,-0.152417234,4.257170255,-1.781687101,0.111937031,0.268174187,-5.52020993
enpep,-0.17671004,4.736788128,-1.781189816,0.112022504,0.268331826,-5.641314084
pdss2,0.163749708,3.845971649,1.781159607,0.112027698,0.268331826,-5.416710485
il4r.2,-0.310290958,2.492135221,-1.780839547,0.112082744,0.268433881,-5.013805913
rex1bd,-0.223043226,3.038561116,-1.780554125,0.112131854,0.268495853,-5.174028428
foxi1,-0.429585533,0.404521529,-1.780544548,0.112133503,0.268495853,-4.519783636
hoxc12b,0.38732213,0.950646831,1.78043976,0.112151538,0.268509246,-4.632206842
wdfy1,0.150455508,4.54681106,1.780231235,0.112187436,0.268565397,-5.603118961
etaa1b,0.69064885,-0.570673492,1.779691089,0.112280473,0.268744855,-4.380666071
slc12a1,0.19846155,3.052007303,1.779651433,0.112287306,0.268744855,-5.189669008
gad3,0.288823743,1.621968113,1.779423006,0.112326675,0.268809268,-4.792692971
nufip1,-0.142525199,5.990460183,-1.779196634,0.112365703,0.268843389,-5.902204637
donson,0.323745639,2.20035495,1.779195793,0.112365848,0.268843389,-4.947150989
kcnma1b,0.243238416,2.322859074,1.778948838,0.112408439,0.268915478,-4.980520133
vps50,0.281503471,3.550379381,1.778694649,0.112452294,0.268990573,-5.338086367
atad1a,0.169424194,3.52968306,1.778384179,0.11250588,0.269088927,-5.331111189
LOC110439432,-0.26527553,2.111126526,-1.778217462,0.112534664,0.269127947,-4.913614971
zswim7,0.638548724,0.016485757,1.777957976,0.11257948,0.269195932,-4.465475111
hdac6,-0.142879485,4.779628988,-1.777872296,0.112594281,0.269195932,-5.657097483
dnajc10,-0.113496596,4.696706433,-1.777836224,0.112600513,0.269195932,-5.637901731
meiosin,0.726786126,-1.106356929,1.777715632,0.11262135,0.269202427,-4.322932774
npdc1b,-0.123289802,4.692161947,-1.777676118,0.112628178,0.269202427,-5.63687596
rreb1b,-0.122174763,5.419395571,-1.777463829,0.11266487,0.269260305,-5.799115392
hars,0.080866898,6.377464014,1.777331236,0.112687793,0.269285268,-5.968968839
ap2m1b,0.078200568,7.844375371,1.777240544,0.112703474,0.269292922,-6.12820703
LOC101884866,0.492371194,-0.078386581,1.777115206,0.112725149,0.269314895,-4.452192261
zmp:0000001048,0.280247156,2.351107956,1.776924861,0.112758074,0.269363737,-4.991305552
mpl,0.400191542,0.736036629,1.776791127,0.112781212,0.269389191,-4.593360024
foxk1,-0.109182212,5.466998231,-1.776334119,0.112860315,0.269522606,-5.810445315
cdh27,0.150514797,4.074443213,1.776235939,0.112877316,0.269522606,-5.486139997
lmf1,-0.154214368,3.614051585,-1.776235259,0.112877433,0.269522606,-5.350401817
si:dkey-82i20.1,-0.413529223,0.856835739,-1.776179885,0.112887023,0.269522606,-4.611537164
ap5z1,-0.196582879,3.370317289,-1.775899431,0.112935603,0.269590504,-5.279042991
utp6,0.432182121,3.214427336,1.775864649,0.112941629,0.269590504,-5.245070575
uck2a,0.173870472,4.031901721,1.775799384,0.112952937,0.269590504,-5.4754886
slmapa,-0.078443496,6.537925595,-1.775594379,0.112988465,0.26964548,-5.992171359
bmp2b,-0.989936547,0.435752156,-1.77524654,0.113048771,0.269739087,-4.522963743
tmem250,0.248660575,2.568852266,1.775223958,0.113052687,0.269739087,-5.054846983
ttll9,-0.619606443,0.149508761,-1.775084493,0.113076876,0.269766976,-4.480914712
nxnl2,-0.220651217,2.81018352,-1.77486137,0.113115584,0.269829493,-5.11600364
commd1,-0.163323315,4.04208846,-1.774482155,0.113181401,0.269956654,-5.472322143
mecom,-0.112514684,4.842873065,-1.773742802,0.113309826,0.270233102,-5.678637659
LOC137490054,0.419209208,0.300089265,1.773372058,0.113374275,0.270313536,-4.517902517
hlx1,-0.134059412,4.177537557,-1.77336733,0.113375097,0.270313536,-5.511410172
gpr132b,-0.580320552,-0.10935278,-1.773268312,0.113392316,0.270313536,-4.445084002
emc7a,-0.388530624,1.185110268,-1.773260619,0.113393654,0.270313536,-4.685715109
dhrs1,-0.136639207,5.305931694,-1.772979459,0.113442561,0.270386824,-5.781719706
osbpl11,-0.147092083,3.81036596,-1.772939833,0.113449455,0.270386824,-5.411254545
capn9,-0.126245616,5.403245822,-1.772735051,0.113485091,0.270438272,-5.802536331
micu1,0.075292181,6.333558874,1.772671773,0.113496104,0.270438272,-5.969173514
cry3a,0.293963754,6.33096333,1.772492721,0.113527274,0.270482678,-5.970604258
LOC137491035,0.588304567,-0.129092492,1.772190697,0.113579869,0.270547406,-4.450666818
dr1,1.274737502,0.474406174,1.772149035,0.113587126,0.270547406,-4.543614168
unm_sa911,-0.34201139,3.382597643,-1.772120762,0.113592051,0.270547406,-5.28214742
prickle1b,-0.100855904,5.344712553,-1.771163273,0.113758957,0.27088674,-5.793116507
si:ch211-226m16.2,0.171678606,4.274865756,1.771159428,0.113759628,0.27088674,-5.546852973
stk17al,0.227394875,3.427387127,1.770970989,0.113792503,0.270935129,-5.312640708
tars2,0.117939322,5.290434097,1.770772873,0.113827076,0.270987549,-5.786077953
tax1bp1a,0.129475702,4.521991433,1.770596328,0.113857893,0.27102627,-5.610258619
dnajb12b,0.208466929,3.445123695,1.770535814,0.113868458,0.27102627,-5.318508413
